layer,lambda_reg,n,midpoint_cos_mean,midpoint_cos_std,arc_mid_deviation_mean,arc_mid_deviation_std,arc_ratio_mean,arc_ratio_std,cka_base_vs_ft_mean,cka_base_vs_ft_std,cka_base_vs_mixed_mean,cka_base_vs_mixed_std,cka_ft_vs_mixed_mean,cka_ft_vs_mixed_std
12,0.75,270,0.767578125,0.05258842543289346,0.19877387152777778,0.045381969402280106,0.4402994791666667,0.08627078384880706,0.5177879050925925,0.07133050953644275,0.8694010416666667,0.04694866655513207,0.525636574074074,0.06583484487163975
13,0.25,270,0.7706597222222222,0.04693251358497988,0.21688006365740742,0.047879789628012134,0.5181495949074074,0.09654810252970077,0.5177879050925925,0.07133050953644275,0.8238425925925926,0.06096823416636005,0.5680049189814815,0.06650894447873053
13,0.5,270,0.7717447916666667,0.04852440260997052,0.2049244068287037,0.045372768585244506,0.4792751736111111,0.09196956694670073,0.5177879050925925,0.07133050953644275,0.8438223379629629,0.055401520233273126,0.5452546296296297,0.06480902751940484
13,0.75,270,0.7674479166666667,0.05322808795656269,0.2001320167824074,0.046236913001398545,0.4468677662037037,0.0871540149234848,0.5177879050925925,0.07133050953644275,0.8664930555555556,0.04865534631684571,0.5317346643518519,0.06582246694193145
14,0.25,270,0.7728877314814815,0.046239331273294916,0.21652199074074074,0.047821089930581734,0.5221281828703703,0.09479411571449162,0.5177879050925925,0.07133050953644275,0.8216435185185185,0.059625679553970745,0.5819733796296296,0.0657685031684682
14,0.5,270,0.7734230324074074,0.0485352887265641,0.20538917824074074,0.04491511668727376,0.48119936342592595,0.09089990527100002,0.5177879050925925,0.07133050953644275,0.8481626157407407,0.05252872869842699,0.5644386574074074,0.06485956493971931
14,0.75,270,0.7702256944444444,0.05259378048824333,0.20153718171296298,0.04590641008710909,0.44699074074074074,0.08656101502303563,0.5177879050925925,0.07133050953644275,0.8709635416666667,0.04629066489549501,0.5499204282407407,0.06537622753939948
15,0.25,270,0.7744646990740741,0.045693249881338834,0.21772822627314814,0.048200947898230206,0.5269241898148148,0.09343748705210408,0.5177879050925925,0.07133050953644275,0.8146846064814814,0.06133008401521959,0.5864221643518519,0.0649566877855895
15,0.5,270,0.7758101851851852,0.04782173826412294,0.20692093460648148,0.04492294844439571,0.48410011574074074,0.08964654249734622,0.5177879050925925,0.07133050953644275,0.846802662037037,0.05254789957745865,0.5741391782407408,0.06480340160820697
15,0.75,270,0.7735966435185185,0.051595234512608966,0.2030345775462963,0.045924698102255024,0.4480179398148148,0.08531510769905772,0.5177879050925925,0.07133050953644275,0.8741174768518518,0.04485371144327671,0.558861400462963,0.06583851571263796
16,0.25,270,0.7742476851851852,0.04563883203406173,0.21883680555555557,0.049046040304446765,0.5357349537037037,0.09143140224351821,0.5177879050925925,0.07133050953644275,0.8072627314814815,0.0625969715078957,0.5977719907407407,0.0648598989483903
16,0.5,270,0.7751302083333333,0.04818664272652797,0.20971860532407408,0.04518374468551836,0.49333043981481484,0.08852902316832036,0.5177879050925925,0.07133050953644275,0.8359519675925926,0.055587926781920406,0.5889395254629629,0.06454503057772268
16,0.75,270,0.7739872685185185,0.05149551749138633,0.20399124710648148,0.04515913046673329,0.4562789351851852,0.08440472874155579,0.5177879050925925,0.07133050953644275,0.8661168981481482,0.046889295731026535,0.5787905092592592,0.0660393608379966
17,0.25,270,0.7742476851851852,0.04551483475439998,0.21882414641203704,0.04930840880154909,0.5430049189814815,0.08953901332325319,0.5177879050925925,0.07133050953644275,0.8013454861111111,0.06221695468949198,0.5981119791666667,0.06342165092835304
17,0.5,270,0.775390625,0.04817679007042875,0.20906394675925927,0.045021139893883635,0.49864004629629627,0.08693922241499526,0.5177879050925925,0.07133050953644275,0.8313657407407408,0.05445249759841997,0.5909071180555555,0.06271990108334177
17,0.75,270,0.7746238425925925,0.051903496106652375,0.20341254340277778,0.04512435189940146,0.46056134259259257,0.08343872062521013,0.5177879050925925,0.07133050953644275,0.8628472222222222,0.046669996031822626,0.5806061921296296,0.06482963634748964
18,0.25,270,0.7735387731481481,0.04517235829214845,0.21845703125,0.049331326383715776,0.5530381944444445,0.08719369604059525,0.5177879050925925,0.07133050953644275,0.7971354166666667,0.06131913969032109,0.5950810185185185,0.06249102576441962
18,0.5,270,0.7743055555555556,0.04817043560241638,0.20792824074074073,0.04491167998553461,0.5079499421296296,0.08562783398444963,0.5177879050925925,0.07133050953644275,0.827879050925926,0.054187075497576405,0.5873408564814815,0.06169143493318969
18,0.75,270,0.7740162037037037,0.05178193722468205,0.20199291087962962,0.04450506547138845,0.4690972222222222,0.08257264118513914,0.5177879050925925,0.07133050953644275,0.857667824074074,0.04743256219432582,0.5789858217592593,0.06346822103443889
19,0.25,270,0.7741030092592592,0.0449763552004088,0.22123480902777778,0.050674856224897674,0.5627314814814814,0.08611603923689114,0.5177879050925925,0.07133050953644275,0.787355324074074,0.06349416806670466,0.6025173611111111,0.06266632178582175
19,0.5,270,0.7764756944444444,0.047644310764106225,0.2083062065972222,0.04472080674705577,0.5150679976851852,0.0846501924152061,0.5177879050925925,0.07133050953644275,0.8214988425925925,0.05545055875510183,0.5944155092592592,0.06221936005698673
19,0.75,270,0.776707175925926,0.05122051690350819,0.2011013454861111,0.0434776443740016,0.47498553240740743,0.08193922455264914,0.5177879050925925,0.07133050953644275,0.8514033564814815,0.04897780983329295,0.5854021990740741,0.06353910052773006
20,0.25,270,0.7790219907407407,0.04396606889119477,0.21880606192129629,0.0497710198259303,0.5658492476851852,0.08247296205923707,0.5177879050925925,0.07133050953644275,0.7903935185185185,0.06212390997771018,0.6063874421296296,0.06219285593238082
20,0.5,270,0.7819444444444444,0.04643496845927693,0.20668402777777778,0.04361849064360198,0.513939525462963,0.08062688917889088,0.5177879050925925,0.07133050953644275,0.8231481481481482,0.053648213332179076,0.5984447337962963,0.06048558963118764
20,0.75,270,0.7834924768518519,0.04925594895536657,0.20018627025462962,0.0424512419269395,0.4699508101851852,0.07767465877031157,0.5177879050925925,0.07133050953644275,0.8539930555555556,0.04666563648519832,0.5898148148148148,0.06153772439622844
