layer,beta,n,midpoint_cos_mean,midpoint_cos_std,arc_mid_deviation_mean,arc_mid_deviation_std,arc_ratio_mean,arc_ratio_std,cka_base_vs_ft_mean,cka_base_vs_ft_std,cka_base_vs_mixed_mean,cka_base_vs_mixed_std,cka_ft_vs_mixed_mean,cka_ft_vs_mixed_std
24,0.75,270,0.8251736111111111,0.03587223172687139,0.18603153935185185,0.03955937586552303,0.5241030092592592,0.07105214865181253,0.5177879050925925,0.07133050953644275,0.8343605324074074,0.05645047919467095,0.6354817708333333,0.052933691294858636
25,0.25,270,0.8605179398148148,0.02276956862295184,0.3103841145833333,0.03246132639038955,0.22241753472222223,0.035145692430533816,0.5177879050925925,0.07133050953644275,0.9587094907407407,0.017761490507644764,0.5840494791666667,0.06405256378665848
25,0.5,270,0.856958912037037,0.02723368577546989,0.1923556857638889,0.040827871881517465,0.38566261574074073,0.05668813010390268,0.5177879050925925,0.07133050953644275,0.8908420138888888,0.043055577431950084,0.6414858217592593,0.05718534857858914
25,0.75,270,0.8355324074074074,0.03374640325214977,0.18655237268518518,0.039549140794729536,0.5335069444444445,0.07121946186463361,0.5177879050925925,0.07133050953644275,0.8134548611111111,0.05900121951554042,0.6925564236111111,0.051597036204766474
26,0.25,270,0.8725260416666667,0.019978530097537646,0.3028971354166667,0.02996262635992567,0.22989366319444443,0.03443559984251899,0.5177879050925925,0.07133050953644275,0.9412037037037037,0.023626353898794823,0.6336443865740741,0.06221224839471233
26,0.5,270,0.8712094907407407,0.024114643050704217,0.17030164930555555,0.03700613392697336,0.4059027777777778,0.054405879680444906,0.5177879050925925,0.07133050953644275,0.8515046296296296,0.049779754868522944,0.732884837962963,0.05075548414142968
26,0.75,270,0.8479166666666667,0.031813495945990526,0.18091182002314815,0.04060043815317801,0.5597800925925925,0.06852950732576041,0.5177879050925925,0.07133050953644275,0.7598379629629629,0.0634536472203224,0.7993344907407407,0.03696400541586604
27,0.25,270,0.8947337962962963,0.016882409789446013,0.29013310185185187,0.028150526247456252,0.23210358796296296,0.031541905975358865,0.5177879050925925,0.07133050953644275,0.9307146990740741,0.0216374879029632,0.7219039351851851,0.05013611819487915
27,0.5,270,0.8977141203703703,0.021656299609303487,0.12337962962962963,0.028385880296868237,0.43560474537037036,0.04974256050478039,0.5177879050925925,0.07133050953644275,0.7759259259259259,0.0515710645581754,0.8825810185185186,0.02871583524993673
27,0.75,270,0.8646267361111111,0.0308577877971258,0.18986906828703703,0.050440816656811924,0.6198784722222223,0.05940024946396415,0.5177879050925925,0.07133050953644275,0.6180193865740741,0.06642497209768625,0.953587962962963,0.014693377067467383
